image_id,error_space,error_type,error_rate,seed,bpp,psnr,ssim,ms_ssim,lpips,decode_failed
house,bitstream,burst,0.0,231,0.1231689453125,20.382789611816406,0.5095870494842529,0.8705809712409973,0.09549139440059662,False
house,bitstream,burst,0.0,232,0.1231689453125,20.38161849975586,0.5092198252677917,0.8701232671737671,0.0966886430978775,False
house,bitstream,burst,0.0,233,0.1231689453125,20.395263671875,0.5084071159362793,0.8699636459350586,0.09919389337301254,False
house,bitstream,burst,0.0,234,0.1231689453125,20.3752498626709,0.5084317922592163,0.8696728944778442,0.09733154624700546,False
house,bitstream,burst,0.0,235,0.1231689453125,20.34153175354004,0.5078904032707214,0.8705184459686279,0.09708620607852936,False
house,bitstream,burst,0.1,231,0.1231689453125,18.239086151123047,0.40793493390083313,0.7822880744934082,0.16735389828681946,False
house,bitstream,burst,0.1,232,0.1231689453125,11.109432220458984,0.15371637046337128,0.10292751342058182,1.0384273529052734,False
house,bitstream,burst,0.1,233,0.1231689453125,7.138927459716797,0.12307463586330414,0.11411869525909424,0.9487550258636475,False
house,bitstream,burst,0.1,234,0.1231689453125,18.33940315246582,0.41290083527565,0.788777768611908,0.1554238349199295,False
house,bitstream,burst,0.1,235,0.1231689453125,9.674232482910156,0.1341412365436554,0.10739369690418243,0.983889102935791,False
house,bitstream,burst,0.5,231,0.1231689453125,6.996788501739502,0.12901704013347626,0.07887764275074005,0.9551734328269958,False
house,bitstream,burst,0.5,232,0.1231689453125,9.886472702026367,0.12619468569755554,0.1633465737104416,0.7357752919197083,False
house,bitstream,burst,0.5,233,0.1231689453125,9.398858070373535,0.16102896630764008,0.17285604774951935,0.9498801827430725,False
house,bitstream,burst,0.5,234,0.1231689453125,15.94944953918457,0.3009447157382965,0.6457642912864685,0.3104296326637268,False
house,bitstream,burst,0.5,235,0.1231689453125,9.481569290161133,0.1555616557598114,0.15347781777381897,0.9476090669631958,False
house,bitstream,burst,1.0,231,0.1231689453125,11.317140579223633,0.15514220297336578,0.10578390955924988,1.0374455451965332,False
