image_id,error_space,error_type,error_rate,seed,bpp,psnr,ssim,ms_ssim,lpips,decode_failed
house,bitstream,random,0.0,231,0.1231689453125,20.382789611816406,0.5095870494842529,0.8705809712409973,0.09549139440059662,False
house,bitstream,random,0.0,232,0.1231689453125,20.38161849975586,0.5092198252677917,0.8701232671737671,0.0966886430978775,False
house,bitstream,random,0.0,233,0.1231689453125,20.395263671875,0.5084071159362793,0.8699636459350586,0.09919389337301254,False
house,bitstream,random,0.0,234,0.1231689453125,20.3752498626709,0.5084317922592163,0.8696728944778442,0.09733154624700546,False
house,bitstream,random,0.0,235,0.1231689453125,20.34153175354004,0.5078904032707214,0.8705184459686279,0.09708620607852936,False
house,bitstream,random,0.1,231,0.1231689453125,9.766393661499023,0.13651393353939056,0.11836619675159454,0.9210207462310791,False
house,bitstream,random,0.1,232,0.1231689453125,11.401754379272461,0.1590196043252945,0.21847307682037354,0.6715065240859985,False
house,bitstream,random,0.1,233,0.1231689453125,7.679328918457031,0.13292843103408813,0.11044764518737793,0.9643204212188721,False
house,bitstream,random,0.1,234,0.1231689453125,6.954038143157959,0.13044485449790955,0.05243184044957161,0.9461325407028198,False
house,bitstream,random,0.1,235,0.1231689453125,9.534416198730469,0.12857571244239807,0.0983276516199112,1.0395258665084839,False
house,bitstream,random,0.5,231,0.1231689453125,10.135942459106445,0.1160181537270546,0.1708085983991623,0.7313419580459595,False
house,bitstream,random,0.5,232,0.1231689453125,10.209330558776855,0.12613508105278015,0.17359036207199097,0.763036847114563,False
house,bitstream,random,0.5,233,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,0.5,234,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,0.5,235,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,1.0,231,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,1.0,232,0.1231689453125,9.196212768554688,0.1179611012339592,0.14475196599960327,0.843448281288147,False
house,bitstream,random,1.0,233,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,1.0,234,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,1.0,235,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,2.0,231,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,2.0,232,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,2.0,233,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,2.0,234,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,2.0,235,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,5.0,231,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,5.0,232,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,5.0,233,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,5.0,234,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,5.0,235,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,10.0,231,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,10.0,232,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,10.0,233,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,10.0,234,0.1231689453125,0.0,0.0,0.0,1.0,True
house,bitstream,random,10.0,235,0.1231689453125,0.0,0.0,0.0,1.0,True
flower,bitstream,random,0.0,231,0.1256103515625,26.733428955078125,0.8314241766929626,0.9578368663787842,0.05065016448497772,False
flower,bitstream,random,0.0,232,0.1256103515625,26.8287353515625,0.8322953581809998,0.9578464031219482,0.05126909911632538,False
flower,bitstream,random,0.0,233,0.1256103515625,26.773971557617188,0.8309654593467712,0.9579801559448242,0.05081629753112793,False
flower,bitstream,random,0.0,234,0.1256103515625,26.826839447021484,0.8321487307548523,0.9579883217811584,0.05030791088938713,False
flower,bitstream,random,0.0,235,0.1256103515625,26.79045867919922,0.831573486328125,0.9578655958175659,0.0505472868680954,False
flower,bitstream,random,0.1,231,0.1256103515625,7.761655807495117,0.17388111352920532,0.09342880547046661,0.8315283060073853,False
flower,bitstream,random,0.1,232,0.1256103515625,7.738192081451416,0.17654173076152802,0.12491323798894882,0.7981609106063843,False
flower,bitstream,random,0.1,233,0.1256103515625,7.878954887390137,0.14947423338890076,0.12503375113010406,0.8123311400413513,False
flower,bitstream,random,0.1,234,0.1256103515625,11.248157501220703,0.22456204891204834,0.23590898513793945,0.7289043664932251,False
flower,bitstream,random,0.1,235,0.1256103515625,10.451794624328613,0.34746959805488586,0.1475992202758789,0.8462161421775818,False
flower,bitstream,random,0.5,231,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,0.5,232,0.1256103515625,8.036745071411133,0.23386821150779724,0.1077229380607605,0.8245418667793274,False
flower,bitstream,random,0.5,233,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,0.5,234,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,0.5,235,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,1.0,231,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,1.0,232,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,1.0,233,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,1.0,234,0.1256103515625,0.0,0.0,0.0,1.0,True
flower,bitstream,random,1.0,235,0.1256103515625,0.0,0.0,0.0,1.0,True
