metric,threshold,failure_rate,metric_at_failure
psnr,25.0,0.0,22.506228256225587
ssim,0.85,0.0,0.616509215037028
ms_ssim,0.9,0.0,0.8994781017303467
lpips,0.3,0.1,0.8751128236452739
